Date,likecount,Negative,Positive,Neutral,Close,Result
2020-01-01,216.75,0.026153373,0.37672335,0.59712327,0.00203261369263,0.0024586361407084676
2020-01-03,33.0,0.9297222,0.0051958277,0.06508199,0.00214537591726,0.002425189203705825
2020-01-04,50.0,0.008627839,0.23452337,0.75684875,0.00224114404226,0.0024502843109427187
2020-01-05,64.85714285714286,0.031110015,0.62960964,0.33928034,0.00241907500068,0.0024266693066832975
2020-01-06,18.0,0.0027447243,0.9410692,0.05618609,0.00246296624732,0.002527862048691675
2020-01-07,40.0,0.51884323,0.2700344,0.21112238,0.00243276271083,0.0024571760888642633
2020-01-08,114.0,0.08586611,0.35518125,0.5589527,0.00229289449798,0.0025116952170856446
2020-01-09,19.5,0.002872383,0.86915123,0.12797642,0.00225609512288,0.0024654564319809696
2020-01-10,114.28571428571429,0.010620433,0.55537546,0.43400413,0.00235572195554,0.002391490513585483
2020-01-11,88.0,0.0025128822,0.85257196,0.14491513,0.00231355893682,0.0023789422819093897
2020-01-12,53.57142857142857,0.037258934,0.42131495,0.5414261,0.00238068085121,0.0024586361407084676
2020-01-13,73.0,0.2174961,0.2929215,0.48958233,0.00235775207561,0.002425189203705825
2020-01-14,68.66666666666667,0.021792924,0.25897107,0.7192361,0.00247001915501,0.0024502843109427187
2020-01-16,34.0,0.1274255,0.4395244,0.43305007,0.00234484342599,0.0024266693066832975
2020-01-17,42.0,0.1287449,0.03955907,0.831696,0.00248989767607,0.002527862048691675
2020-01-18,34.0,0.012262737,0.65956146,0.32817584,0.00250705300116,0.0024571760888642633
2020-01-19,91.8,0.1671123,0.29398686,0.53890085,0.00240503593,0.0025116952170856446
2020-01-20,15.5,0.005716307,0.688834,0.3054497,0.00237405636804,0.0025685418266121764
2020-01-21,77.0,0.004433793,0.85555184,0.14001434,0.00237642962309,0.002483495283884293
2020-01-22,97.25,0.11971202,0.72529197,0.15499601,0.00232344565847,0.0024254540336495693
2020-01-23,36.75,0.018761462,0.6160482,0.36519033,0.0022676360167,0.0024098035913742264
2020-01-24,91.5,0.03555322,0.21899295,0.74545383,0.00227586396268,0.002370959799830362
2020-01-25,42.0,0.006081617,0.4746795,0.5192389,0.00225733643253,0.0023307772803283716
2020-01-26,101.0,0.003678413,0.89776284,0.098558776,0.00230463126793,0.002394247883438672
2020-01-28,44.166666666666664,0.008936874,0.5811694,0.40989372,0.00244957429366,0.002371929325399833
2020-01-29,71.0,0.0031858322,0.8749633,0.121850915,0.00238970348935,0.0023303146512825335
2020-01-30,25.0,0.78797734,0.016778912,0.1952438,0.00244040648403,0.0024318731085259527
2020-01-31,38.5,0.0026189398,0.883839,0.113542065,0.00239356761727,0.002438629274918148
2020-02-01,66.8,0.069600984,0.5160918,0.4143072,0.00242203987221,0.002396566549994415
2020-02-02,37.0,0.4119024,0.42758062,0.16051698,0.00246847615167,0.0024173636435393304
2020-02-03,75.0,0.008191663,0.3614099,0.6303984,0.00243985236993,0.0025479988109540354
2020-02-04,25.0,0.0035446552,0.8612753,0.13518009,0.00250330076161,0.00257733294086764
2020-02-05,43.166666666666664,0.093001,0.4822761,0.42472288,0.00258199194065,0.002579660131576657
2020-02-06,33.25,0.039205845,0.5416459,0.41914824,0.00265308518068,0.0026199291034286073
2020-02-07,42.5,0.019811723,0.30806798,0.67212033,0.00276873283406,0.0026286019450574025
2020-02-08,75.1,0.038722113,0.6217459,0.33953202,0.00315859933344,0.0027043071781821756
2020-02-09,39.666666666666664,0.10658754,0.54063356,0.3527789,0.0032322618551,0.0028108303250823936
2020-02-10,145.0,0.04723008,0.24938928,0.70338064,0.00298630687472,0.0031025955276512626
2020-02-11,220.5,0.064328626,0.41089654,0.52477485,0.00304072063452,0.003200911658526001
2020-02-12,35.714285714285715,0.04144017,0.5318205,0.42673936,0.0030927746093,0.00306395166624781
2020-02-13,21.5,0.1687531,0.33630407,0.49494284,0.00302589350169,0.0030963584628203415
2020-02-14,63.833333333333336,0.006763262,0.4768348,0.51640195,0.00312984672139,0.0031562016028186084
2020-02-15,106.33333333333333,0.0049992017,0.56756955,0.42743126,0.00291957020651,0.003089857730430214
2020-02-16,48.833333333333336,0.015124776,0.41058293,0.5742923,0.00277434354472,0.0031716912485662938
2020-02-17,55.0,0.11368059,0.24963893,0.6366804,0.0027123059339,0.0030482679991477766
2020-02-18,42.4,0.06603955,0.64746255,0.28649786,0.00283930475653,0.0028636655455707653
2020-02-19,46.888888888888886,0.105463654,0.3757362,0.5188001,0.00262407597413,0.002751026318696882
2020-02-20,67.0,0.0019510406,0.9490762,0.04897276,0.00265876742744,0.0028361680800914443
2020-02-21,181.5,0.2131621,0.5273661,0.25947177,0.00264828187306,0.0027100247539903095
2020-02-22,56.5,0.006829144,0.58483917,0.4083317,0.00260141704824,0.002685101776530312
2020-02-23,39.0,0.011416637,0.3431101,0.64547324,0.00268024490995,0.0026983472451980184
2020-02-24,28.0,0.029242758,0.81421113,0.1565461,0.00258957518806,0.002710984496156592
2020-02-25,200.375,0.019147437,0.5400088,0.4408438,0.00247618181373,0.0027821869421800686
2020-02-26,148.5,0.0029875636,0.9256418,0.071370594,0.00233920598696,0.002673520648789237
2020-02-27,25.5,0.26811275,0.06552999,0.6663573,0.00232381539093,0.002550280668666098
2020-02-28,9.0,0.014439488,0.45440096,0.53115964,0.00228866329984,0.00243035106283976
2020-02-29,84.5,0.0098266145,0.12693684,0.8632365,0.00223476519932,0.0023443669116844914
2020-03-01,38.0,0.4910119,0.13409516,0.37489295,0.00227473880538,0.0023777334988559946
2020-03-02,30.6,0.12328452,0.36913085,0.5075846,0.00234860618193,0.0023901510591370217
2020-03-03,53.27272727272727,0.019907268,0.65333796,0.32675478,0.00249926038207,0.0023308442143046434
2020-03-04,18.5,0.06407364,0.08707279,0.8488536,0.00239801828014,0.002362234650897389
2020-03-05,63.666666666666664,0.06677753,0.36637807,0.5668444,0.0025058081285,0.002578030371590009
2020-03-06,44.0,0.0019237451,0.9743653,0.02371098,0.00249568949959,0.0025498555265215874
2020-03-07,37.0,0.0013945063,0.95573825,0.042867314,0.00240455118622,0.002586584940592136
2020-03-08,58.0,0.008285198,0.079773016,0.9119418,0.00218692869581,0.002512542692278701
2020-03-09,31.0,0.015781084,0.55553824,0.42868066,0.002214385992,0.002390258967168233
2020-03-10,11.0,0.422453,0.13238925,0.44515774,0.00220657039104,0.002270991533066633
2020-03-11,86.66666666666667,0.020037452,0.3511435,0.62881905,0.00218361951571,0.0022863267269689273
2020-03-12,60.833333333333336,0.080967315,0.5203617,0.39867094,0.00153719725716,0.0021991972395829233
2020-03-13,34.666666666666664,0.010929744,0.688391,0.30067936,0.00173782788709,0.0022300458112505393
2020-03-14,180.5,0.005628565,0.7179462,0.2764253,0.00166574102907,0.0017884245895872935
2020-03-15,34.666666666666664,0.005138308,0.6328681,0.36199355,0.00168525712399,0.0017332673970121507
2020-03-16,34.0,0.0037737852,0.5915702,0.40465602,0.00158719383581,0.0017553729844090496
2020-03-17,64.5,0.016817126,0.42806304,0.5551199,0.00158737838162,0.0017809213247501048
2020-03-18,83.0,0.005247461,0.55423504,0.44051751,0.00156558325002,0.001710938377512476
2020-03-19,45.25,0.006046146,0.8745476,0.11940627,0.00177324616116,0.0016957644160320406
2020-03-24,14.0,0.09331234,0.11183047,0.7948571,0.00185077714731,0.001694962225403249
2020-03-26,38.0,0.007585247,0.62144184,0.37097296,0.00184156726062,0.0017708076348383148
2020-03-27,73.0,0.006789229,0.17541151,0.8177992,0.00180707074512,0.0018912113966904859
2020-03-28,63.8,0.0070142187,0.59309685,0.39988893,0.00177781598513,0.0019508682645666532
2020-03-29,22.0,0.010738749,0.2842113,0.70505,0.00172325165211,0.0019478129368104074
2020-03-30,55.0,0.35226002,0.24300843,0.40473154,0.0018310390192,0.0018796058104414391
2020-03-31,80.25,0.09402421,0.52977145,0.3762043,0.00181093689299,0.0018021377485168443
2020-04-01,89.5,0.0020457234,0.96053684,0.037417416,0.00186665946146,0.001838714987078387
2020-04-02,37.0,0.0044390224,0.7456204,0.24994062,0.00188208962187,0.0018573816234972206
2020-04-03,135.33333333333334,0.0033744227,0.87063485,0.1259907,0.00185306140071,0.001920606115898096
2020-04-04,24.5,0.121465415,0.36510068,0.51343393,0.00188041930407,0.001940145049263126
2020-04-05,85.5,0.015837872,0.59696805,0.38719407,0.00186508550498,0.001953435051788417
2020-04-06,54.0,0.06488384,0.2479023,0.68721384,0.00198009906661,0.0019655223011301
2020-04-07,24.0,0.0024506832,0.8438493,0.15370002,0.00199730616322,0.0019930820026148547
2020-04-08,17.0,0.03702956,0.52102387,0.44194663,0.00201180037074,0.002092328234850175
2020-04-09,24.0,0.007305791,0.63421327,0.35848102,0.00202147277353,0.0020732961253597444
2020-04-10,14.0,0.0026404615,0.8281724,0.16918711,0.00196818938555,0.002039323015623226
2020-04-11,161.0,0.0067727217,0.5216407,0.47158656,0.00198968584004,0.0020586077015870697
2020-04-12,93.5,0.39132914,0.50506026,0.103610605,0.00199009679949,0.001996017556331071
2020-04-14,39.666666666666664,0.00994794,0.6148615,0.37519053,0.0019644674539,0.002047231298822624
2020-04-15,97.5,0.009127075,0.16706878,0.8238042,0.0019404909418,0.002016080071281113
2020-04-16,16.0,0.0019774344,0.9478762,0.050146352,0.00202766685795,0.002016445641218088
2020-04-17,31.5,0.0026488085,0.9396906,0.057660583,0.00201317424885,0.002124402201983531
2020-04-18,117.0,0.15312977,0.24455759,0.6023126,0.00206089804801,0.0021314820924693595
2020-04-19,11.0,0.9084505,0.008922093,0.082627505,0.00205828164831,0.002018545101423176
2020-04-20,57.7,0.14386755,0.24484754,0.6112849,0.00198218735949,0.002073957619026836
2020-04-21,49.0,0.29949883,0.090220645,0.6102806,0.0019714929886,0.0020604743942885663
2020-04-22,15.0,0.0491072,0.7707699,0.18012284,0.0020107609233,0.0020694129860821977
2020-04-23,38.0,0.005616871,0.5342463,0.46013674,0.00204711915905,0.00215127963217759
2020-04-24,43.0,0.12408482,0.19300397,0.6829113,0.00210275001818,0.0021827461080921495
2020-04-25,271.3,0.045366842,0.31934428,0.6352889,0.00214152023241,0.002209330907978948
2020-04-26,130.5,0.15700385,0.5921847,0.25081143,0.00240908779398,0.002242821918728629
2020-04-27,57.6,0.059552632,0.6531502,0.2872972,0.00235487597207,0.002320319645675269
2020-04-28,29.5,0.026077246,0.5091443,0.46477842,0.00233888391923,0.0024805434083518653
2020-04-29,40.0,0.0060837455,0.6011926,0.39272365,0.00251711012438,0.0024417221864410994
2020-04-30,25.0,0.0069987564,0.603041,0.3899602,0.00244285692396,0.002436355650763225
2020-05-01,114.5,0.0025674682,0.93819886,0.05923368,0.00249390855533,0.0025870833129624958
2020-05-02,13.5,0.10431252,0.18040302,0.71528447,0.0025493532827,0.002545412408493205
2020-05-03,228.0,0.029733399,0.28029674,0.68996984,0.00251033363066,0.0025075670084014874
2020-05-04,35.0,0.0048297066,0.2316222,0.7635481,0.00248112275018,0.0025440873869860816
2020-05-05,33.5,0.014433961,0.15393437,0.8316317,0.00248434437146,0.0026201007488786125
2020-05-06,59.4,0.16523513,0.20633611,0.62842876,0.00252920563984,0.0025917990101648708
2020-05-07,28.0,0.009517988,0.7185808,0.27190122,0.00266381209348,0.0025501214219844906
2020-05-08,63.5,0.00700491,0.64928037,0.34371468,0.00262507205826,0.002548576709799821
2020-05-09,109.5,0.0072600367,0.6056958,0.38704416,0.00261327021026,0.0026584156554580137
2020-05-10,58.5,0.026356187,0.10069608,0.8729477,0.00245943195556,0.0026780261481211204
2020-05-11,91.0,0.0061611473,0.70413464,0.2897042,0.00241280930893,0.00267762502859038
2020-05-12,183.5,0.008240774,0.48514938,0.50660986,0.00246293499334,0.002567082840287131
2020-05-13,133.71428571428572,0.31370324,0.5153518,0.170945,0.002521012853,0.002472948872112155
2020-05-14,19.0,0.032485038,0.09700994,0.870505,0.00257418643829,0.0025038242270568173
2020-05-15,42.285714285714285,0.012019156,0.46638796,0.5215929,0.00250579887897,0.002562875298858305
2020-05-16,42.0,0.15129577,0.329429,0.51927525,0.00251255871804,0.002653556500630663
2020-05-17,74.66666666666667,0.040192295,0.4803239,0.4794838,0.00253811790149,0.0026549717038048034
2020-05-18,18.5,0.002551102,0.9535167,0.04393223,0.00254340325196,0.002577670226114208
2020-05-19,32.666666666666664,0.11367073,0.30532804,0.5810012,0.00253829590552,0.002591404671210598
2020-05-20,37.0,0.01014315,0.42100188,0.5688549,0.00250788558316,0.002569724940340373
2020-05-21,56.0,0.13398412,0.39644915,0.46956673,0.00248516937718,0.0025628331624188284
2020-05-22,92.6,0.023398463,0.6788972,0.29770428,0.00253305703263,0.0025785676838423676
2020-05-23,63.5,0.007686804,0.7280016,0.26431155,0.00254392809652,0.00254412584254119
2020-05-24,66.42857142857143,0.011736423,0.7377872,0.2504764,0.00245783216888,0.002560168977059378
2020-05-25,39.666666666666664,0.25327253,0.46609306,0.28063434,0.00254011637701,0.0025787262524663286
2020-05-26,51.714285714285715,0.13685381,0.46924567,0.39390054,0.00248639784778,0.0025310061051342665
2020-05-27,79.16666666666667,0.020252462,0.52204686,0.45770064,0.00251013238024,0.0025428126386101957
2020-05-28,15.0,0.058826588,0.054575864,0.8865975,0.0025235757466,0.002544359966160074
2020-05-29,68.5,0.09451264,0.60944074,0.2960466,0.00253230675417,0.0026090443408907423
2020-05-30,59.0,0.0076474342,0.74352795,0.24882461,0.0026151754841,0.002628491809122495
2020-05-31,74.0,0.23025692,0.31542882,0.45431423,0.00255457272583,0.00258984911010358
2020-06-01,17.0,0.0024010038,0.7711176,0.22648138,0.00264671649786,0.0026194730612284804
2020-06-02,32.5,0.0246473,0.41198775,0.5633649,0.00256123937294,0.002592112466528424
2020-06-03,32.0,0.0052386234,0.5881942,0.40656722,0.00258259204268,0.0026759861632581904
2020-06-04,33.333333333333336,0.014441241,0.36152014,0.62403864,0.00263060480934,0.002658623334828675
2020-06-05,29.0,0.9373557,0.010330711,0.052313592,0.00259572139217,0.0026397212186756638
2020-06-06,19.0,0.060215652,0.22816254,0.7116218,0.00258717151414,0.002659628216261155
2020-06-07,24.0,0.12092159,0.10960795,0.76947045,0.00260607822265,0.0025722343348256087
2020-06-08,73.5,0.09079006,0.09426254,0.8149475,0.00258420542458,0.0026010691237150726
2020-06-09,25.0,0.0032554003,0.49084872,0.5058959,0.00256859059104,0.0027381332462747283
2020-06-10,125.5,0.010398522,0.5908793,0.3987221,0.00258419196064,0.0027334296572446167
2020-06-11,18.0,0.008063412,0.6397181,0.3522185,0.00245225307828,0.0026720608875411673
2020-06-12,137.0,0.02462108,0.38869065,0.5866883,0.00252016250652,0.0026506583853830846
2020-06-13,43.4,0.009439766,0.45092377,0.53963643,0.00253307642103,0.002519973719760167
2020-06-14,32.0,0.02459043,0.4835103,0.49189925,0.002510551413,0.002570640802490373
2020-06-15,16.5,0.004376442,0.75962347,0.23600005,0.00247935904938,0.0026088146730792513
2020-06-16,59.125,0.06546851,0.5439983,0.39053315,0.00248680407099,0.002563833588043916
2020-06-17,14.0,0.007708136,0.49870566,0.4935863,0.00248493206342,0.0024929391739228184
2020-06-18,73.66666666666667,0.0073344167,0.5168328,0.47583273,0.0024716281137,0.002484168401396757
2020-06-19,19.0,0.08982336,0.50358814,0.40658852,0.00243479543549,0.0025245750189509973
2020-06-20,103.5,0.012228286,0.42687452,0.5608972,0.00244672448919,0.0025304220069042823
2020-06-21,30.166666666666668,0.04861368,0.44146892,0.50991744,0.00244661127274,0.0024656310802576966
2020-06-22,22.0,0.016018305,0.5993826,0.38459912,0.00247365531032,0.0024819473751421456
2020-06-23,38.0,0.020769145,0.2764683,0.7027626,0.00248422997596,0.002501568619862222
2020-06-24,18.25,0.37779334,0.32481676,0.2973899,0.00242967777253,0.0025034442241785044
